Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Precio_m2,Nombre,Valor_compra_venta,Numero_de_contratos
2020,2,9,Sant Andreu,57,la Trinitat Vella,11.6,61.9,79.2,126.0
2020,2,9,Sant Andreu,58,Baró de Viver,,84.0,,85.0
2020,2,9,Sant Andreu,59,el Bon Pastor,11.9,67.3,186.1,28.0
2020,2,9,Sant Andreu,60,Sant Andreu,12.8,68.8,222.0,128.0
2020,2,9,Sant Andreu,61,la Sagrera,12.1,68.5,227.3,15.0
2020,2,9,Sant Andreu,62,el Congrés i els Indians,11.4,74.1,267.1,70.0
2020,2,9,Sant Andreu,63,Navas,13.1,70.6,223.7,40.0
2020,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,13.5,65.9,254.2,22.0
2020,2,10,Sant Martí,65,el Clot,13.6,68.5,265.5,10.0
2020,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,15.2,67.0,291.1,12.0
